sample,spot_set,n_spots,protocol,lib_median,lib_p10,lib_p90,frac_lib_lt100,sd_loglib,cv_lib,moran_I_loglib_k6,zero_frac_fullgenome,genes_detected_median
INT10,bench_patches,1983,frozen,17087.0,1330.4,46100.799999999996,0.002017145738779627,1.3935470328900212,0.8784956591329618,0.9416076191576105,0.8696712692017831,5213.0
INT9,all_spots,1696,frozen,9725.5,2170.0,18959.0,0.0,0.8371743195000934,0.6487685972733921,0.8703379190009202,0.895244591342746,3971.5
INT9,bench_patches,1696,frozen,9725.5,2170.0,18959.0,0.0,0.8371743195000934,0.6487685972733921,0.8703379190009202,0.895244591342746,3971.5
INT8,all_spots,1949,frozen,17882.0,5959.6,31143.600000000002,0.0,0.6286184992036161,0.5192721195144108,0.7741117182725665,0.8607621166891607,5285.0
INT8,bench_patches,1949,frozen,17882.0,5959.6,31143.600000000002,0.0,0.6286184992036161,0.5192721195144108,0.7741117182725665,0.8607621166891607,5285.0
INT7,all_spots,2374,frozen,13925.5,6446.6,24613.000000000007,0.0,0.5361914842887935,0.4734657987419703,0.6900722689137062,0.8774347895669568,4510.5
INT7,bench_patches,2374,frozen,13925.5,6446.6,24613.000000000007,0.0,0.5361914842887935,0.4734657987419703,0.6900722689137062,0.8774347895669568,4510.5
INT6,all_spots,1678,frozen,9719.5,1847.0000000000002,24190.0,0.0,0.9517831237478283,0.7533976394921587,0.8611252039746584,0.9048087550705854,3321.5
INT6,bench_patches,1678,frozen,9719.5,1847.0000000000002,24190.0,0.0,0.9517831237478283,0.7533976394921587,0.8611252039746584,0.9048087550705854,3321.5
INT23,all_spots,4755,ffpe,16459.0,9167.0,26674.800000000003,0.0,0.4456972571882559,0.4176229147147137,0.7550055260353274,0.6967423948473824,5515.0
INT23,bench_patches,4755,ffpe,16459.0,9167.0,26674.800000000003,0.0,0.4456972571882559,0.4176229147147137,0.7550055260353274,0.6967423948473824,5515.0
INT5,all_spots,1186,frozen,44195.5,14386.0,66697.5,0.0,0.6285021473475797,0.45978367004014453,0.6173982066108114,0.788547622594191,8309.5
INT5,bench_patches,1186,frozen,44195.5,14386.0,66697.5,0.0,0.6285021473475797,0.45978367004014453,0.6173982066108114,0.788547622594191,8309.5
INT4,all_spots,1349,frozen,1336.0,406.0,4831.6,0.002223869532987398,0.9282965037211438,1.112625827891009,0.7371044256215888,0.9695640376825004,875.0
INT4,bench_patches,1349,frozen,1336.0,406.0,4831.6,0.002223869532987398,0.9282965037211438,1.112625827891009,0.7371044256215888,0.9695640376825004,875.0
INT3,all_spots,2007,frozen,3762.0,1404.2,8611.800000000005,0.001993024414549078,0.7438091951178979,0.6547581990725199,0.6170487244018737,0.9397140608128374,2078.0
INT3,bench_patches,2007,frozen,3762.0,1404.2,8611.800000000005,0.001993024414549078,0.7438091951178979,0.6547581990725199,0.6170487244018737,0.9397140608128374,2078.0
INT2,all_spots,2580,frozen,3328.5,873.0,7764.9,0.0003875968992248062,0.8451888938240649,0.7074969427247053,0.7746360242490968,0.9466557443573893,1857.5
INT2,bench_patches,2580,frozen,3328.5,873.0,7764.9,0.0003875968992248062,0.8451888938240649,0.7074969427247053,0.7746360242490968,0.9466557443573893,1857.5
INT1,all_spots,1084,frozen,4933.0,1937.5000000000002,9242.0,0.0009225092250922509,0.6461968775696526,0.5293993555326868,0.443438608303048,0.94102365581728,2106.5
INT1,bench_patches,1084,frozen,4933.0,1937.5000000000002,9242.0,0.0009225092250922509,0.6461968775696526,0.5293993555326868,0.443438608303048,0.94102365581728,2106.5
INT22,all_spots,3829,ffpe,9719.0,5420.2,17998.600000000002,0.0,0.5060814062163186,0.5071293919762603,0.7912875915722669,0.7433309568981732,4513.0
INT22,bench_patches,3829,ffpe,9719.0,5420.2,17998.600000000002,0.0,0.5060814062163186,0.5071293919762603,0.7912875915722669,0.7433309568981732,4513.0
INT21,all_spots,4975,ffpe,11474.0,3270.4,19287.4,0.0,0.769528172594776,0.5536499601662753,0.8216423225719838,0.7414903531759001,4753.0
INT21,bench_patches,4975,ffpe,11474.0,3270.4,19287.4,0.0,0.769528172594776,0.5536499601662753,0.8216423225719838,0.7414903531759001,4753.0
INT20,all_spots,4860,ffpe,4101.5,1398.9,8725.2,0.0012345679012345679,0.7942270907429986,0.6400098057246201,0.7433856179341932,0.8566283399948029,2464.5
INT20,bench_patches,4860,ffpe,4101.5,1398.9,8725.2,0.0012345679012345679,0.7942270907429986,0.6400098057246201,0.7433856179341932,0.8566283399948029,2464.5
INT19,all_spots,4948,ffpe,3554.0,900.7,7784.6,0.002021018593371059,0.858372586745456,0.6800996121610814,0.7872333928530391,0.8657810160631274,2371.0
INT19,bench_patches,4948,ffpe,3554.0,900.7,7784.6,0.002021018593371059,0.858372586745456,0.6800996121610814,0.7872333928530391,0.8657810160631274,2371.0
INT18,all_spots,4915,ffpe,13010.0,1775.4,24052.200000000004,0.0006103763987792472,0.9937383264386069,0.6725201025707016,0.9390209417075923,0.7481981627249714,4815.0
INT18,bench_patches,4915,ffpe,13010.0,1775.4,24052.200000000004,0.0006103763987792472,0.9937383264386069,0.6725201025707016,0.9390209417075923,0.7481981627249714,4815.0
INT17,all_spots,3585,ffpe,4576.0,1500.4,10211.6,0.0100418410041841,0.940975369638996,0.7045625680215724,0.8197281461048701,0.8604113864056262,2429.0
INT17,bench_patches,3585,ffpe,4576.0,1500.4,10211.6,0.0100418410041841,0.940975369638996,0.7045625680215724,0.8197281461048701,0.8604113864056262,2429.0
INT16,all_spots,3206,ffpe,7685.0,4277.0,13297.0,0.0,0.4622440589211692,0.4222024411452293,0.8025516978952486,0.7803766477674903,3909.5
INT16,bench_patches,3206,ffpe,7685.0,4277.0,13297.0,0.0,0.4622440589211692,0.4222024411452293,0.8025516978952486,0.7803766477674903,3909.5
